l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_f,heat_ext
1508,6,0.02,0.76,0.023,33.04347826,26.82423957,79,1587,2.26,2212.87,65.66,7.87,215.04,95.15044248,32364692.47
1508,8,0.02,0.785,0.019,41.31578947,31.21470086,61,1569,2.66,2214.82,65.83,8.21,252.69,94.9962406,28711061.37
1508,12,0.014,0.785,0.025,31.4,25.10710746,19,1527,2.64,2211.69,66.19,7.62,250.5,94.88636364,26811714.68
1508,14,0.025,0.756,0.021,36,28.83191546,64,1572,2.36,2213.92,65.48,7.65,226.33,95.90254237,30141207.46
1508,14,0.026,0.762,0.023,33.13043478,26.82423957,59,1567,2.7,2215.53,65.96,8.08,256.97,95.17407407,27846750.4
1508,15,0.013,0.73,0.022,33.18181818,27.78715793,42,1550,3.14,2213.67,66.19,7.69,278.18,88.59235669,22769781.42
1508,7,0.015,0.706,0.018,39.22222222,32.58285073,54,1562,3.11,2220.61,65.87,7.64,284.53,91.48874598,22911554.24
1508,6,0.016,0.765,0.015,51,37.65403131,43,1551,3.11,2213.17,65.87,8.09,281.27,90.44051447,24179771.79
1508,7,0.017,0.743,0.018,41.27777778,32.58285073,48,1556,3.12,2216.14,66,8.17,282.3,90.48076923,24373278.19
1508,8,0.015,0.725,0.022,32.95454545,27.78715793,55,1563,3.13,2216.16,66.1,7.96,279.54,89.30990415,23671137.74
1508,10,0.021,0.762,0.023,33.13043478,26.82423957,44,1552,2.76,2275.77,66.09,7.88,261.56,94.76811594,27289450.7
1508,15,0.015,0.723,0.034,21.26470588,19.67192734,51,1559,2.86,2273.21,66,7.8,271.79,95.03146853,26038587.27
1508,7,0.024,0.722,0.03,24.06666667,21.72572514,43,1551,3.13,2273.17,65.89,8.09,283.76,90.65814696,24676603.92
1508,13,0.014,0.707,0.02,35.35,29.96988564,32,1540,3.02,2273.06,66.03,7.74,278.08,92.0794702,24467759.76
1506,12,0.024,1.06,0.024,44.16666667,25.93359266,94,1600,2.34,2281.08,65.74,7.86,223.5,95.51282051,32180774.77
1506,10,0.023,1.036,0.025,41.44,25.10710746,57,1563,3.07,2280.16,65.94,7.97,280.64,91.41368078,24861913.95
1508,9,0.016,0.732,0.029,25.24137931,22.31802259,45,1553,3.11,2273.17,66.12,7.24,279.22,89.78135048,22225901.4
1506,8,0.022,1.06,0.022,48.18181818,27.78715793,35,1541,3.15,2278.76,59.98,7.76,284.77,90.4031746,23577570.13
1508,11,0.017,0.769,0.026,29.57692308,24.33786233,50,1558,3.03,2279.8,60.02,7.78,284.82,94,24585724.36
1508,7,0.014,0.71,0.016,44.375,35.77449321,58,1566,3.14,2278.32,59.93,8.26,285.54,90.93630573,25171808.1
1506,8,0.019,1.02,0.02,51,29.96988564,56,1562,3.04,2281.89,59.98,8.22,284.71,93.65460526,25914463.93
1506,7,0.014,1.02,0.016,63.75,35.77449321,45,1551,3.19,2280.69,59.98,7.75,282.2,88.46394984,23271617.4
1506,12,0.02,1.03,0.018,57.22222222,32.58285073,44,1550,3.08,2281.86,59.97,7.89,283.33,91.99025974,24550739.18
1506,10,0.017,1.065,0.021,50.71428571,28.83191546,57,1563,3.17,2276.84,60.26,8.4,282.84,89.22397476,25339720.88
1506,12,0.028,1.07,0.015,71.33333333,37.65403131,82,1588,2.3,2281.8,59.6,7.57,218.97,95.20434783,31542412.7
1506,8,0.021,1.05,0.025,42,25.10710746,47,1553,3.16,2280.23,59.98,7.61,278.49,88.12974684,23063516.22
1508,10,0.025,0.726,0.019,38.21052632,31.21470086,44,1552,3.09,2278.74,59.85,8.46,276.04,89.33333333,26203297.63
