grade,grade,seq_no,dd,p,mn,s,mn_s,mn_s_t,l_temp,s_temp,super_heat,tt,f_temp,cs,mcwf,mould_level,mcwd_temp,new_var,sczfr,m_factor
1,980,S10,10,0.025,0.726,0.019,38.21052632,31.21470086,1508,1552,44,1552,1550,3.09,2278.74,59.85,8.46,26203297.63,276.04,272.95
1,909,S15,9,0.022,1.04,0.025,41.6,25.10710746,1506,1547,41,1547,1537,3.03,2277.62,60.02,8.74,27593028.04,275.97,272.94
1,909,S20,16,0.027,1.06,0.018,58.88888889,32.58285073,1506,1540,34,1540,1540,3.22,2278.1,59.92,8.53,25346338.7,276.17,272.95
1,909,S25,14,0.026,1.07,0.03,35.66666667,21.72572514,1506,1545,39,1545,1545,2.96,2279.62,59.99,7.87,25456270.09,271.67,268.71
1,980,S30,8,0.017,0.76,0.014,54.28571429,39.77262916,1508,NA,23,1531,1531,3.16,2280.09,60.08,7.63,23122710.17,276.53,273.37
1,980,S35,10,0.022,0.767,0.019,40.36842105,31.21470086,1508,1545,37,1545,1545,3.08,2282.41,60.09,8.16,25396998.55,276.08,273
1,976,S05,5,0.016,0.96,0.024,40,25.93359266,1510,1559,49,1559,1567,3.17,2279.16,59.98,7.05,21288936.15,275.78,272.61
1,980,S10,8,0.014,0.73,0.02,36.5,29.96988564,1508,1551,43,1551,1561,3.15,2277,60.08,8.4,25502400,276.06,272.91
1,980,S20,9,0.019,0.725,0.027,26.85185185,23.61991192,1508,1544,36,1544,1544,3.12,2279.26,59.64,8.18,25098159.15,275.78,272.66
1,980,S30,11,0.03,0.71,0.019,37.36842105,31.21470086,1508,NA,46,1554,1554,3.19,2278.42,59.72,8.76,26278253.49,274.94,271.75
1,980,S32,12,0.015,0.73,0.021,34.76190476,28.83191546,1508,1552,44,1552,1552,3.32,2278.12,60.17,8.96,25822352.96,277.92,274.6
1,980,M,13,0.014,0.751,0.018,41.72222222,32.58285073,1508,NA,66,1574,1574,2.35,2277.77,59.39,7.87,32038046.63,223.32,220.97
1,980,S05,12,0.018,0.749,0.023,32.56521739,26.82423957,1508,1564,56,1564,1564,3.06,2274.4,59.84,8.49,26503449.41,273.04,269.98
1,980,S10,13,0.017,0.7,0.018,38.88888889,32.58285073,1508,1558,50,1558,1540,3.21,2280.55,59.88,7.63,22767135.61,275.56,272.35
1,980,S14,10,0.035,0.82,0.022,37.27272727,27.78715793,1508,1550,42,1550,1545,3.15,2280.52,59.89,8.09,24599209.07,275.52,272.37
1,980,S20,10,0.021,0.752,0.02,37.6,29.96988564,1508,NA,44,1552,1552,2.88,2281.86,59.98,7.58,25224060.75,273.39,270.51
1,980,S25,9,0.022,0.69,0.014,49.28571429,39.77262916,1508,1572,64,1572,1563,2.87,2275.89,60.17,7.87,26211591.66,270.55,267.68
1,980,S30,13,0.015,0.702,0.025,28.08,25.10710746,1508,1548,40,1548,1548,2.83,2276.49,59.97,7.68,25947159.52,268.39,265.56
1,980,S33,12,0.025,0.734,0.022,33.36363636,27.78715793,1508,1530,22,1530,1545,2.84,2271.53,59.94,7.87,26437729.8,269.53,266.69
1,980,M,10,0.026,0.745,0.016,46.5625,35.77449321,1508,1573,65,1573,1573,2.28,2274.53,59.41,7.54,31592024.58,217.59,215.31
1,980,S05,8,0.016,0.7,0.015,46.66666667,37.65403131,1508,1567,59,1567,1561,3.01,2272.27,60.01,7.43,23557627.12,280.59,277.58
1,980,S10,6,0.032,0.743,0.025,29.72,25.10710746,1508,1563,55,1563,1560,3.17,2277.31,60.12,7.91,23866496.16,282.44,279.27
1,980,S20,11,0.025,0.75,0.019,39.47368421,31.21470086,1508,1561,53,1561,1555,2.84,2278.22,59.88,7.7,25942829.15,270.97,268.13
1,980,S25,7,0.018,0.79,0.013,60.76923077,42.18126779,1508,NA,31,1539,1539,2.84,2280.7,60.02,7.35,24790566.55,269.49,266.65
1,980,S23,8,0.018,0.75,0.024,31.25,25.93359266,1508,1548,40,1548,1532,2.81,2278.49,60.08,7.24,24656343.03,266.15,263.34
1,980,S16,8,0.014,0.74,0.01,74,51.94243253,1508,1557,49,1557,1557,2.72,2349.81,60.06,7.12,25834087.59,257.26,254.54
1,980,S05,15,0.015,0.7,0.022,31.81818182,27.78715793,1508,1553,45,1553,1556,3.02,2348.5,60.24,7.61,24855217.55,259.59,256.57
1,980,S11,14,0.024,0.712,0.018,39.55555556,32.58285073,1508,1553,45,1553,1555,2.73,2348.83,60.14,6.9,24933733.85,258.2,255.47
1,980,S21,10,0.016,0.742,0.019,39.05263158,31.21470086,1508,1538,30,1538,1535,3.1,2347.59,59.93,7.63,24268022.3,256.06,252.96
1,980,S26,14,0.022,0.743,0.022,33.77272727,27.78715793,1508,1553,45,1553,1540,2.87,2349.24,60.04,7.43,25543687.61,254.22,251.35
1,980,M,15,0.021,0.71,0.025,28.4,25.10710746,1508,NA,73,1581,1581,2.44,2345.05,59.47,7.21,29103608.24,233.75,231.31
1,980,S01,7,0.018,0.721,0.028,25.75,22.94811947,1508,1557,49,1557,1493,2.76,2346.96,60.18,7.33,26178808.17,248.51,245.75
1,980,S05,15,0.021,0.789,0.028,28.17857143,22.94811947,1508,1536,28,1536,1535,2.91,2353.01,60.02,6.86,23297224.78,256.04,253.13
1,980,S09,15,0.016,0.756,0.026,29.07692308,24.33786233,1508,NA,32,1540,1540,2.72,2345.45,59.96,7.05,25532637.68,259.01,256.29
1,980,S15,8,0.026,0.75,0.03,25,21.72572514,1508,1555,47,1555,1555,2.83,2351.58,63.9,6.77,23627146.9,264.18,261.35
1,980,S20,13,0.02,0.726,0.022,33,27.78715793,1508,1548,40,1548,1548,2.85,2348.74,63.97,6.7,23190717.05,260.11,257.26
1,980,M,14,0.02,0.753,0.018,41.83333333,32.58285073,1508,1566,58,1566,1579,2.29,2351.15,63.46,7.2,31047500.44,219.89,217.6
1,980,S05,9,0.022,0.723,0.022,32.86363636,27.78715793,1508,1554,46,1554,1554,2.8,2351.08,64.04,7.36,25955923.2,255.52,252.72
1,980,S10,11,0.022,0.723,0.021,34.42857143,28.83191546,1508,1571,63,1571,1571,2.66,2346.99,64.1,7.43,27533898.47,248.21,245.55
1,980,S15,15,0.02,0.742,0.028,26.5,22.94811947,1508,1550,42,1550,1548,2.74,2350.48,64.02,7.27,26193268.73,248.82,246.08
1,980,S20,17,0.014,0.79,0.016,49.375,35.77449321,1508,NA,43,1551,1551,2.86,2353.4,63.9,7.64,26404160.56,248.87,246.01
1,976,M,10,0.018,1.021,0.027,37.81481481,23.61991192,1510,NA,73,1583,1583,2.22,2329.11,59.48,6.71,29567107.22,213.36,211.14
1,980,S05,17,0.031,0.746,0.024,31.08333333,25.93359266,1508,1556,48,1556,1556,2.79,2329.45,60.13,7.4,25949572.04,264.53,261.74
1,980,S10,17,0.015,0.754,0.028,26.92857143,22.94811947,1508,NA,47,1555,1555,2.64,2335.24,59.84,7.04,26154688,251.49,248.85
1,980,S15,21,0.023,0.79,0.015,52.66666667,37.65403131,1508,1549,41,1549,1554,2.34,2338.69,60.1,6.59,27662505.05,221.04,218.7
