grade,grade_s,seq_no,grade_mn,l_temp,dd,p,mn,s,mn_s,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,909,M,B,0.1315265568,0.1001241407,0.4911938197,-0.7526515738,-1.434456163,0.5802098654,0.04196347399,0.3230916826,-1.434102642,-0.8610553704,0.04693559283,0.4064474866,-0.8212276,-0.8212276,0.8501979346
F,909,S5,C,0.1315265568,-0.1791663894,-0.4497774773,0.9137391752,0.5193818265,-0.09473969068,-0.3967458864,-0.5875965516,0.9561376249,-0.8506624817,0.178798253,0.4406283414,0.1670810349,0.1670810349,0.1189344084
F,909,S10,C,0.1315265568,0.3794146707,-1.767137293,0.9137391752,-0.7239696213,0.8446312801,-0.2342609381,-0.250304613,1.393787251,-0.8081461189,0.2150604845,0.5507666514,0.1524285718,0.1524285718,0.1107542426
F,909,S15,C,0.1315265568,-0.7377474494,0.3029995603,0.876110997,-0.7239696213,0.8229534882,-0.1367699691,-0.04792944983,1.629444742,-0.7681492443,0.2711021151,0.6533092159,0.1288014751,0.1288014751,0.1433361124
F,909,S20,C,0.1315265568,0.6587052008,-1.014360255,1.408280946,1.052246733,-0.1688341527,-0.3317519071,-0.4526797762,0.5858187102,-0.7563391436,0.1524257209,0.3494793952,0.1626852959,0.1626852959,0.1377379815
F,909,S25,C,0.1315265568,0.1001241407,-0.07338895848,1.042750072,-0.1911047151,0.4247014879,-0.153018464,-0.0816586437,0.2491651515,-0.7431118307,0.2513227161,0.2659261945,0.03026366084,0.03026366084,0.1498919629
F,909,S30,C,0.1315265568,0.6587052008,-1.014360255,0.8331073647,-0.7239696213,0.7981788695,-0.3155034122,-0.4189505823,0.1818344397,-0.717129609,0.2084673515,0.4064474866,0.005537629393,0.005537629393,0.3031680392
F,980,M,B,0.1691249884,1.217286261,-1.955331552,-0.8064061141,-0.0134830797,-0.5710612342,0.04196347399,0.3905500704,-1.501433354,-0.7804317491,0.1062737899,0.5279794149,-0.8534630187,-0.8534630187,1.02651561
F,909,M,C,0.1315265568,2.334448381,-1.014360255,0.9674937155,-0.3687263505,0.5333186331,0.05821196882,0.3568208765,-1.467767998,-0.8268848121,0.1227566224,0.5317772876,-0.830751701,-0.830751701,1.011507213
F,909,S5,D,0.1315265568,-0.1791663894,-1.390748774,1.666302739,0.8746250973,0.01325223823,-0.3317519071,-0.4526797762,1.360121895,-0.825310132,0.1820948195,0.4216389776,0.2722124575,0.2722124575,0.009160680263
F,909,S10,C,0.1315265568,1.775867321,-1.390748774,1.005121894,1.94035491,-0.6371038432,2.040528338,4.471782528,-0.3904766102,-0.7815340252,0.211763918,0.2165538487,-0.2702949881,-0.2702949881,0.2811228211
F,909,S15,C,0.1315265568,2.055157851,0.1148053009,0.7524755543,-0.7239696213,0.7517264589,-0.2992549174,-0.3852213884,-0.6934648131,-0.7605907798,0.211763918,0.3912559956,-0.4488718819,-0.4488718819,0.5604038117
F,909,M,C,0.1315265568,2.055157851,-0.6379717366,0.8599846349,0.8746250973,-0.2904750615,0.04196347399,0.3230916826,-1.53509871,-0.8183815396,-0.01569917074,0.4406283414,-0.757123074,-0.757123074,0.9365774673
F,909,S5,C,0.1315265568,0.3794146707,-2.143525812,1.05350098,0.5193818265,-0.03770645284,-0.6729702985,-1.160992847,1.292791184,-0.779172005,0.1952810855,0.6722985797,0.1813671864,0.1813671864,0.2395246223
F,909,S10,C,0.1315265568,2.334448381,0.3029995603,1.451284578,-0.3687263505,0.7826947325,-0.2017639484,-0.1828462253,1.360121895,-0.7549219315,0.244729583,0.6077347428,0.1086543383,0.1086543383,0.1703374817
