grade,grade_s,seq_no,l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,980,M,1508,6,0.02,0.76,0.023,33.04347826,26.82423957,79,1587,2.26,2212.87,65.66,7.87,215.04,107.52,32364692.47
F,980,S05,1508,8,0.02,0.785,0.019,41.31578947,31.21470086,61,1569,2.66,2214.82,65.83,8.21,252.69,126.345,28711061.37
F,980,S10,1508,12,0.014,0.785,0.025,31.4,25.10710746,19,1527,2.64,2211.69,66.19,7.62,250.5,125.25,26811714.68
F,980,M,1508,14,0.025,0.756,0.021,36,28.83191546,64,1572,2.36,2213.92,65.48,7.65,226.33,113.165,30141207.46
F,980,S05,1508,14,0.026,0.762,0.023,33.13043478,26.82423957,59,1567,2.7,2215.53,65.96,8.08,256.97,128.485,27846750.4
F,980,S10,1508,15,0.013,0.73,0.022,33.18181818,27.78715793,42,1550,3.14,2213.67,66.19,7.69,278.18,139.09,22769781.42
F,980,S15,1508,7,0.015,0.706,0.018,39.22222222,32.58285073,54,1562,3.11,2220.61,65.87,7.64,284.53,142.265,22911554.24
F,980,S20,1508,6,0.016,0.765,0.015,51,37.65403131,43,1551,3.11,2213.17,65.87,8.09,281.27,140.635,24179771.79
F,980,S25,1508,7,0.017,0.743,0.018,41.27777778,32.58285073,48,1556,3.12,2216.14,66,8.17,282.3,141.15,24373278.19
F,980,S30,1508,8,0.015,0.725,0.022,32.95454545,27.78715793,55,1563,3.13,2216.16,66.1,7.96,279.54,139.77,23671137.74
F,980,M,1508,12,0.013,0.74,0.019,38.94736842,31.21470086,187,1695,2.33,2271.83,65.67,7.72,221.68,110.84,31614513.27
F,980,S14,1508,10,0.021,0.762,0.023,33.13043478,26.82423957,44,1552,2.76,2275.77,66.09,7.88,261.56,130.78,27289450.7
F,980,S10,1508,15,0.015,0.723,0.034,21.26470588,19.67192734,51,1559,2.86,2273.21,66,7.8,271.79,135.895,26038587.27
F,980,S20,1508,7,0.024,0.722,0.03,24.06666667,21.72572514,43,1551,3.13,2273.17,65.89,8.09,283.76,141.88,24676603.92
F,980,S30,1508,13,0.014,0.707,0.02,35.35,29.96988564,32,1540,3.02,2273.06,66.03,7.74,278.08,139.04,24467759.76
F,909,M,1506,12,0.024,1.06,0.024,44.16666667,25.93359266,94,1600,2.34,2281.08,65.74,7.86,223.5,111.75,32180774.77
F,909,S05,1506,10,0.023,1.036,0.025,41.44,25.10710746,57,1563,3.07,2280.16,65.94,7.97,280.64,140.32,24861913.95
F,980,S10,1508,9,0.016,0.732,0.029,25.24137931,22.31802259,45,1553,3.11,2273.17,66.12,7.24,279.22,139.61,22225901.4
